MODEL,CLASS,FOLD,DATASET,COLOR_SPACE,WEIGHTED_LOSS,TRUE_NEGATIVES,FALSE_POSITIVES,FALSE_NEGATIVES,TRUE_POSITIVES,LOSS,ACC,SENSITIVITY,SPECIFITY,PRECISION,F1,AUC,MCC
efficientnet,5_Crescent,2,ROS,RGB,True,134,32,0,166,0.05791418810924852,0.9036144578313253,1.0,0.8072289156626506,0.8383838383838383,0.9120879120879121,0.9036144578313253,0.8226589066968623
efficientnet,5_Crescent,3,ROS,RGB,True,141,25,0,166,0.07605227442031884,0.924698795180723,1.0,0.8493975903614458,0.8691099476439791,0.9299719887955182,0.9246987951807228,0.8591972388735651
efficientnet,5_Crescent,4,ROS,RGB,True,138,27,0,165,0.049715516738819354,0.9181818181818182,1.0,0.8363636363636363,0.859375,0.9243697478991597,0.9181818181818182,0.8477912478906585
efficientnet,5_Crescent,5,ROS,RGB,True,154,11,3,162,0.08151811324059963,0.9575757575757575,0.9818181818181818,0.9333333333333333,0.9364161849710982,0.9585798816568047,0.9575757575757575,0.9162290755382101
efficientnet,6_Membranous,1,ROS,RGB,False,229,4,18,215,0.1364090391654569,0.9527896995708155,0.9227467811158798,0.9828326180257511,0.9817351598173516,0.9513274336283186,0.9527896995708154,0.9072185490389477
efficientnet,6_Membranous,2,ROS,RGB,False,216,16,28,204,0.17563999341479664,0.9051724137931034,0.8793103448275862,0.9310344827586207,0.9272727272727272,0.9026548672566371,0.9051724137931034,0.8114310003052224
efficientnet,6_Membranous,3,ROS,RGB,False,227,4,27,204,0.21676763598666046,0.9329004329004329,0.8831168831168831,0.9826839826839827,0.9807692307692307,0.929384965831435,0.9329004329004329,0.8701246455819892
efficientnet,6_Membranous,4,ROS,RGB,False,219,11,1,229,0.09131575978320577,0.9739130434782609,0.9956521739130435,0.9521739130434783,0.9541666666666667,0.9744680851063829,0.9739130434782609,0.9487232249585532
efficientnet,6_Membranous,5,ROS,RGB,False,215,14,16,213,0.16757094401329364,0.9344978165938864,0.9301310043668122,0.9388646288209607,0.9383259911894273,0.9342105263157895,0.9344978165938864,0.8690287769245097
efficientnet,6_Membranous,1,ROS,RGB,True,184,49,0,233,0.0816968065474678,0.8948497854077253,1.0,0.7896995708154506,0.8262411347517731,0.9048543689320389,0.8948497854077253,0.8077637460938353
efficientnet,6_Membranous,2,ROS,RGB,True,175,57,0,232,0.08859333485878747,0.877155172413793,1.0,0.7543103448275862,0.8027681660899654,0.8905950095969289,0.8771551724137931,0.7781621503131149
efficientnet,6_Membranous,3,ROS,RGB,True,187,44,5,226,0.1323125956507472,0.8939393939393939,0.9783549783549783,0.8095238095238095,0.837037037037037,0.9021956087824351,0.8939393939393939,0.7993535196536737
efficientnet,6_Membranous,4,ROS,RGB,True,167,63,0,230,0.0823975247533425,0.8630434782608696,1.0,0.7260869565217392,0.7849829351535836,0.8795411089866156,0.8630434782608696,0.7549608402474709
efficientnet,6_Membranous,5,ROS,RGB,True,178,51,5,224,0.10612786369292497,0.8777292576419213,0.9781659388646288,0.777292576419214,0.8145454545454546,0.8888888888888888,0.8777292576419213,0.7711772537371482
efficientnet,7_Sclerosis,1,ROS,RGB,False,92,2,1,93,0.1007892684416568,0.9840425531914894,0.9893617021276596,0.9787234042553191,0.9789473684210527,0.9841269841269841,0.9840425531914894,0.9681398917658008
efficientnet,7_Sclerosis,2,ROS,RGB,False,88,6,2,92,0.12555142618874285,0.9574468085106382,0.9787234042553191,0.9361702127659575,0.9387755102040817,0.9583333333333334,0.9574468085106382,0.9157230764999138
efficientnet,7_Sclerosis,3,ROS,RGB,False,91,1,9,83,0.1784109680548958,0.9456521739130435,0.9021739130434783,0.9891304347826086,0.9880952380952381,0.9431818181818182,0.9456521739130435,0.8946933499675687
efficientnet,7_Sclerosis,4,ROS,RGB,False,90,2,2,90,0.1027194025075954,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.9565217391304348
efficientnet,7_Sclerosis,5,ROS,RGB,False,86,6,1,91,0.14356825209182242,0.9619565217391304,0.9891304347826086,0.9347826086956522,0.9381443298969072,0.9629629629629629,0.9619565217391304,0.9252805482133528
efficientnet,7_Sclerosis,1,ROS,RGB,True,77,17,1,93,0.07742052889884786,0.9042553191489362,0.9893617021276596,0.8191489361702128,0.8454545454545455,0.9117647058823529,0.9042553191489362,0.8204836824663079
efficientnet,7_Sclerosis,2,ROS,RGB,True,70,24,0,94,0.07411417000471278,0.8723404255319148,1.0,0.7446808510638298,0.7966101694915254,0.8867924528301887,0.8723404255319149,0.7702079842374077
efficientnet,7_Sclerosis,3,ROS,RGB,True,71,21,1,91,0.1235389495673387,0.8804347826086957,0.9891304347826086,0.7717391304347826,0.8125,0.8921568627450981,0.8804347826086956,0.7795119555779045
efficientnet,7_Sclerosis,4,ROS,RGB,True,62,30,0,92,0.08120668355537497,0.8369565217391304,1.0,0.6739130434782609,0.7540983606557377,0.8598130841121495,0.8369565217391304,0.7128791772183246
efficientnet,7_Sclerosis,5,ROS,RGB,True,60,32,2,90,0.11473877727985382,0.8152173913043478,0.9782608695652174,0.6521739130434783,0.7377049180327869,0.8411214953271028,0.8152173913043479,0.6668869722364972
efficientnet,8_Podocytopathy,1,ROS,RGB,False,73,4,4,73,0.18625689752690203,0.9480519480519481,0.948051948051948,0.948051948051948,0.948051948051948,0.948051948051948,0.948051948051948,0.8961038961038961
efficientnet,8_Podocytopathy,2,ROS,RGB,False,72,5,2,75,0.19912027132201504,0.9545454545454546,0.974025974025974,0.935064935064935,0.9375,0.9554140127388535,0.9545454545454546,0.9097816785925636
efficientnet,8_Podocytopathy,3,ROS,RGB,False,72,5,9,68,0.24164527151491735,0.9090909090909092,0.8831168831168831,0.935064935064935,0.9315068493150684,0.9066666666666666,0.9090909090909091,0.819288030372914
efficientnet,8_Podocytopathy,4,ROS,RGB,False,66,9,1,74,0.2390384042263031,0.9333333333333333,0.9866666666666667,0.88,0.891566265060241,0.9367088607594937,0.9333333333333333,0.8716395124528971
efficientnet,8_Podocytopathy,5,ROS,RGB,False,69,5,7,67,0.20408077578286868,0.918918918918919,0.9054054054054054,0.9324324324324325,0.9305555555555556,0.9178082191780822,0.9189189189189189,0.8381440091756064
efficientnet,8_Podocytopathy,1,ROS,RGB,True,37,40,1,76,0.12838721517231558,0.7337662337662338,0.987012987012987,0.4805194805194805,0.6551724137931034,0.7875647668393783,0.7337662337662337,0.5422277098159002
efficientnet,8_Podocytopathy,2,ROS,RGB,True,28,49,0,77,0.1376024687832052,0.6818181818181819,1.0,0.36363636363636365,0.6111111111111112,0.7586206896551724,0.6818181818181819,0.4714045207910317
efficientnet,8_Podocytopathy,3,ROS,RGB,True,35,42,0,77,0.13811681574428236,0.7272727272727273,1.0,0.45454545454545453,0.6470588235294118,0.7857142857142857,0.7272727272727273,0.5423261445466404
efficientnet,8_Podocytopathy,4,ROS,RGB,True,36,39,0,75,0.12804241299629213,0.7400000000000001,1.0,0.48,0.6578947368421053,0.7936507936507936,0.74,0.5619514869490164
efficientnet,8_Podocytopathy,5,ROS,RGB,True,47,27,0,74,0.1288679157559936,0.8175675675675677,1.0,0.6351351351351351,0.7326732673267327,0.8457142857142858,0.8175675675675675,0.6821631290633241
efficientnet_b4,1_Normal,1,ROS,RGB,False,373,33,77,329,0.3609374331429674,0.8645320197044335,0.8103448275862069,0.9187192118226601,0.9088397790055248,0.8567708333333334,0.8645320197044335,0.7333835576305374
efficientnet_b4,1_Normal,2,ROS,RGB,False,382,24,30,376,0.2903957103420361,0.9334975369458128,0.9261083743842364,0.9408866995073891,0.94,0.9330024813895782,0.9334975369458127,0.867089764784578
efficientnet_b4,1_Normal,3,ROS,RGB,False,378,27,71,334,0.32517443637789034,0.8790123456790123,0.8246913580246914,0.9333333333333333,0.925207756232687,0.8720626631853786,0.8790123456790124,0.7625381984325457
efficientnet_b4,1_Normal,4,ROS,RGB,False,360,44,16,388,0.29989542598181435,0.9257425742574258,0.9603960396039604,0.8910891089108911,0.8981481481481481,0.9282296650717703,0.9257425742574257,0.8535375789847596
efficientnet_b4,1_Normal,5,ROS,RGB,False,368,34,42,360,0.3206608566775251,0.9054726368159204,0.8955223880597015,0.9154228855721394,0.9137055837563451,0.9045226130653267,0.9054726368159205,0.8111059005909802
